Date,Time,Distance (m),Elevation (ft)
7/15/2020,0:32:24,3.82,53
7/17/2020,0:06:00,1.06,27
7/18/2020,2:12:12,7.55,"1,139"
7/20/2020,0:14:14,2,30
7/23/2020,0:19:49,3.04,76
7/26/2020,0:13:39,1.98,49
7/27/2020,1:46:47,6.5,"1,955"
7/29/2020,0:12:13,1.73,27
8/2/2020,0:14:05,2,43
8/4/2020,1:17:35,4.78,"1,666"
8/14/2020,0:09:56,1.15,20
8/15/2020,0:13:43,1.88,35
8/19/2020,0:09:56,1.48,15
8/20/2020,0:10:29,1.57,19
8/21/2020,0:10:01,1.51,17
8/23/2020,0:10:54,1.51,17
8/24/2020,0:12:05,1.8,17
8/25/2020,0:13:10,2,19
8/26/2020,0:13:39,2,19
8/27/2020,0:13:31,2,19
8/31/2020,0:12:41,2,21
9/2/2020,0:11:37,1.7,20
9/5/2020,0:13:40,2,20
9/7/2020,0:13:06,1.95,22
9/11/2020,0:10:24,1.53,15
9/15/2020,0:14:28,1.95,19
9/19/2020,0:09:25,1,8
9/23/2020,0:10:43,1.5,20
9/30/2020,0:10:06,1.5,15
10/7/2020,0:09:36,1.5,15
10/9/2020,0:14:54,2,19
10/10/2020,0:10:23,1.5,17
10/12/2020,0:10:17,1.6,19
10/23/2020,0:05:06,1,11
10/26/2020,0:06:56,1,14
10/30/2020,0:06:41,1.1,11
11/2/2020,0:14:00,2,20
11/7/2020,0:07:38,1.15,10
11/12/2020,0:08:51,1.36,15
